Year,State,Sep_pod_forecast,Oct_pod_forecast,Nov_pod_forecast
2015.0,OHIO,1621.0,1691.0,1776.0
2016.0,OHIO,1773.0,1715.0,1782.0
2017.0,OHIO,1765.0,1714.0,1828.0
2018.0,OHIO,2019.0,2180.0,2210.0
2019.0,OHIO,1563.0,1760.0,1587.0
2004.0,SOUTH DAKOTA,1248.0,1332.0,1302.0
2005.0,SOUTH DAKOTA,1634.0,1617.0,1605.0
2006.0,SOUTH DAKOTA,1318.0,1345.0,1316.0
2007.0,SOUTH DAKOTA,1476.0,1492.0,1510.0
2008.0,SOUTH DAKOTA,1425.0,1465.0,1492.0
2009.0,SOUTH DAKOTA,1513.0,1642.0,1683.0
2010.0,SOUTH DAKOTA,1527.0,1622.0,1605.0
2011.0,SOUTH DAKOTA,1652.0,1492.0,1530.0
2012.0,SOUTH DAKOTA,1171.0,1142.0,1127.0
2013.0,SOUTH DAKOTA,1508.0,,1543.0
2014.0,SOUTH DAKOTA,1533.0,1485.0,1498.0
2015.0,SOUTH DAKOTA,1541.0,1557.0,1563.0
2016.0,SOUTH DAKOTA,1561.0,,1709.0
2017.0,SOUTH DAKOTA,1511.0,1472.0,1457.0
2018.0,SOUTH DAKOTA,1649.0,1867.0,1822.0
2019.0,SOUTH DAKOTA,1504.0,1316.0,1331.0
